sobol_index,batch,pressure_atm,requested_vapor_fraction,benzene_feed_fraction,toluene_feed_fraction,stages,feed_stage,feed_stage_fraction,reflux_ratio,bottoms_fraction,feed_flow_kmol_h,feed_temperature_C,x_D_benzene,x_B_benzene,Q_C,Q_R,dwsim_solved,column_calculated,column_error,output_values_valid,composition_valid,temperature_valid,case_valid,error_message
28,2048,1.0630421675741673,0.13609995329752564,0.5885206375271081,0.41147936247289185,11,6,0.5454545454545454,1.5440369518473744,0.5003692999482154,100.0,91.57514155438514,0.9647849431129785,0.21281163187376365,1074.9000357212722,1085.0634440966307,True,True,,True,True,True,True,
29,2048,1.1915171323344111,0.2126113001257181,0.6626812353730201,0.33731876462697985,13,8,0.6153846153846154,2.1328063242137434,0.48911565616726876,100.0,93.55203867969595,0.9958089422548494,0.3147276219684308,1336.749269458993,1344.3690764247556,True,True,,True,True,True,True,
30,2048,1.7450249642133713,0.09045964451506734,0.48416505157947537,0.5158349484205247,26,12,0.46153846153846156,4.025485144089907,0.5321271589025856,100.0,112.90146486669187,0.9997747028088231,0.030814145994358683,1919.4303959818067,1939.1430880410135,True,True,,True,True,True,True,
31,2048,1.9193749660626054,0.2570326060988009,0.5259016513824463,0.47409834861755373,19,7,0.3684210526315789,3.4234666233882303,0.4154985649511218,100.0,115.33613856316623,0.8993121890191117,0.0006159969810176588,2140.666936136636,2157.844454711004,True,True,,True,True,True,True,
32,2048,1.3940826002508402,0.04105770662426948,0.32082256525754926,0.6791774347424507,20,13,0.65,2.0129230697639287,0.5569109871983529,100.0,109.77634060312761,0.7022459074395138,0.01735543103545808,1163.8426066539857,1175.5888399006274,True,True,,True,True,True,True,
33,2048,1.3843614468351007,0.21607453543692826,0.46346577331423755,0.5365342266857624,30,15,0.5,1.5941851601935921,0.40354074183851485,100.0,104.75419704402827,0.7768821786505041,0.00021650226625121607,1334.6509540939412,1348.1837906728151,True,True,,True,True,True,True,
34,2048,1.9291259963065386,0.07528673848137259,0.683386630564928,0.316613369435072,10,6,0.6,3.03010929543525,0.5746284071356058,100.0,110.9123145255333,0.9909459165302379,0.4557144611644459,1393.0679513867499,1397.5704041711576,True,True,,True,True,True,True,
35,2048,1.7197103006765246,0.2511942255310714,0.3250988222658634,0.6749011777341366,23,16,0.6956521739130435,4.43172070523724,0.4791496302932501,100.0,117.68520528879111,0.6213862176661262,0.0030251762724828545,2461.2722693307155,2471.326671599586,True,True,,True,True,True,True,
36,2048,1.2168025746941566,0.05393670257180929,0.5215826831758021,0.47841731682419786,17,6,0.35294117647058826,2.5644220735877754,0.5486382277682423,100.0,98.26777968452387,0.9862662817129955,0.13929647465995965,1344.9669630056264,1358.6871452169066,True,True,,True,True,True,True,
37,2048,1.0884487619623542,0.28040999835357067,0.6459629636257886,0.35403703637421136,19,7,0.3684210526315789,1.9631751364096999,0.4595022017136216,100.0,90.83037964971686,0.9934896831643538,0.23717373747533144,1344.6273472324608,1354.352636082678,True,True,,True,True,True,True,
38,2048,1.5980550907552242,0.027048968710005283,0.40104202888906,0.5989579711109401,22,13,0.5909090909090909,3.3700895567424594,0.518089771643281,100.0,112.20369318770213,0.8289162439102502,0.003039267537504402,1786.1446085510433,1802.1667133609524,True,True,,True,True,True,True,
39,2048,1.8007812397554517,0.15168677251785992,0.5592077728360891,0.44079222716391087,15,8,0.5333333333333333,4.0756398372352125,0.43588357828557495,100.0,111.81084933406993,0.9802403500733134,0.014337285549676448,2342.481186225079,2361.545923512748,True,True,,True,True,True,True,
40,2048,1.2627153005450964,0.14200250012800097,0.38772397749125953,0.6122760225087405,26,11,0.4230769230769231,2.185776631068438,0.5928720803931355,100.0,103.81538690443273,0.9473240988858752,0.003450720972564313,1090.8748693135342,1110.2066064998417,True,True,,True,True,True,True,
