sobol_index,batch,pressure_atm,requested_vapor_fraction,benzene_feed_fraction,toluene_feed_fraction,stages,feed_stage,feed_stage_fraction,reflux_ratio,bottoms_fraction,feed_flow_kmol_h,feed_temperature_C,x_D_benzene,x_B_benzene,Q_C,Q_R,dwsim_solved,column_calculated,column_error,output_values_valid,composition_valid,temperature_valid,case_valid,error_message
50,2048,1.9689784282818437,0.0021703284233808517,0.5990791995078325,0.4009208004921675,26,18,0.6923076923076923,2.30153436390683,0.41064515709877014,100.0,114.13321379264391,0.5,0.5,0.0,0.0,False,False,Solver reached the maximum number of iterations without converging.,False,False,False,False,DWSIM did not converge.
152,2048,1.3450091630220413,0.042446372006088494,0.5503405176103116,0.44965948238968845,26,14,0.5384615384615384,4.123449925146997,0.44317850954830645,100.0,101.05020485121992,0.5,0.5,0.0,0.0,False,False,Solver reached the maximum number of iterations without converging.,False,False,False,False,DWSIM did not converge.
291,2048,1.7235776977613568,0.17232709284871817,0.5707967955619097,0.42920320443809035,29,14,0.4827586206896552,4.093382324371487,0.4211755394935608,100.0,109.76521814261741,0.5,0.5,0.0,0.0,False,False,Solver reached the maximum number of iterations without converging.,False,False,False,False,DWSIM did not converge.
346,2048,1.8079310525208712,0.015471834875643253,0.5236773896962403,0.47632261030375966,23,10,0.43478260869565216,3.2858945058658717,0.48037442434579136,100.0,113.04845295381767,0.5,0.5,0.0,0.0,False,False,Solver reached the maximum number of iterations without converging.,False,False,False,False,DWSIM did not converge.
377,2048,1.302128842100501,0.18452953035011888,0.5813006475567817,0.4186993524432183,23,12,0.5217391304347826,4.437686099577695,0.4091990921646357,100.0,98.97333934266652,0.5,0.5,0.0,0.0,False,False,Solver reached the maximum number of iterations without converging.,False,False,False,False,DWSIM did not converge.
614,2048,1.6098276479169726,0.050484901573508975,0.4701318714767694,0.5298681285232306,23,10,0.43478260869565216,2.5808703700080513,0.5329836145043373,100.0,110.23133518291104,0.5,0.5,0.0,0.0,False,False,Solver reached the maximum number of iterations without converging.,False,False,False,False,DWSIM did not converge.
674,2048,1.935641479678452,0.10624537747353315,0.4492963805794716,0.5507036194205284,23,11,0.4782608695652174,3.5277365346439185,0.5486108647659421,100.0,118.11727211461391,0.9922000351925292,0.0028251772219755104,0.0,0.0,False,False,Failed to fulfill mass balance for Benzene: Relative Error = -0.00027122008065577 [Tolerance = 0.0001],False,False,False,False,DWSIM did not converge.
708,2048,1.2353796381503344,0.01753250788897276,0.48083838000893586,0.5191616199910641,25,10,0.4,4.044245956744999,0.5131732616573572,100.0,100.04475582686644,0.9884190815260566,8.561443431490678e-05,0.0,0.0,False,False,Failed to fulfill mass balance for Benzene: Relative Error = -0.000820218637625781 [Tolerance = 0.0001],False,False,False,False,DWSIM did not converge.
813,2048,1.1613008119165897,0.21530260797590017,0.4617372840642929,0.5382627159357072,25,9,0.36,3.743005135282874,0.5346633601933718,100.0,98.41251826038678,0.992861573038469,0.00011196330623477088,0.0,0.0,False,False,Failed to fulfill mass balance for Benzene: Relative Error = -0.000730819910267526 [Tolerance = 0.0001],False,False,False,False,DWSIM did not converge.
859,2048,1.6077917646616697,0.28729591593146325,0.5819375291466713,0.4180624708533287,20,8,0.4,2.2358578339219095,0.4189382826909423,100.0,106.7763164705654,0.5,0.5,0.0,0.0,False,False,Solver reached the maximum number of iterations without converging.,False,False,False,False,DWSIM did not converge.
877,2048,1.1753842290490866,0.26926772156730294,0.5340949978679418,0.4659050021320582,20,12,0.6,2.860012714192271,0.4666644912213087,100.0,96.66020357520608,0.9946684799993931,0.008180545767406119,0.0,0.0,False,False,Failed to fulfill mass balance for Benzene: Relative Error = -0.000401786581782557 [Tolerance = 0.0001],False,False,False,False,DWSIM did not converge.
