sobol_index,batch,pressure_atm,requested_vapor_fraction,benzene_feed_fraction,toluene_feed_fraction,stages,feed_stage,feed_stage_fraction,reflux_ratio,bottoms_fraction,feed_flow_kmol_h,feed_temperature_C,x_D_benzene,x_B_benzene,Q_C,Q_R,dwsim_solved,column_calculated,output_values_valid,composition_valid,temperature_valid,case_valid,split,lhs_index,column_error,error_message
1.0,2048.0,1.431029474362731,0.2443103916943073,0.6225651066750288,0.3774348933249711,11,5,0.4545454545454545,3.97159739183262,0.5395551698282361,100.0,101.25730488571544,0.9909815636285196,0.3081665218235442,1894.6851316866805,1902.6165038481968,True,True,True,True,True,True,sobol_train_val,,,
2.0,2048.0,1.8824654864147303,0.0470534414984285,0.4307692196220159,0.5692307803779841,29,15,0.5172413793103449,2.0821339627727866,0.4825667183846235,100.0,117.6183543823289,0.8315460698583252,0.0010370259895782,1338.1337926808712,1354.1958319881078,True,True,True,True,True,True,sobol_train_val,,,
3.0,2048.0,1.7033175639808178,0.2229603764601051,0.585932033881545,0.414067966118455,17,10,0.5882352941176471,1.8591579909436404,0.5651566851884127,100.0,108.86343980561594,0.9925445329881516,0.2730766329531136,1018.0581227907032,1027.198908193922,True,True,True,True,True,True,sobol_train_val,,,
4.0,2048.0,1.2331875702366233,0.0821731511503458,0.3675731908529996,0.6324268091470003,23,8,0.3478260869565217,3.2664719916880127,0.4065690586343408,100.0,103.62576275197938,0.6193925962536349,1.618816833330389e-05,2246.6068965286267,2256.1974752598967,True,True,True,True,True,True,sobol_train_val,,,
5.0,2048.0,1.103864811360836,0.1585700341500341,0.4930036596953868,0.5069963403046132,22,8,0.3636363636363636,4.327703504450619,0.5953152256086469,100.0,95.656749308393,0.9987357153089176,0.1492140319919344,1806.772137654004,1820.154980877151,True,True,True,True,True,True,sobol_train_val,,,
6.0,2048.0,1.5826465440914037,0.1488863334059715,0.6597996599972248,0.3402003400027752,18,12,0.6666666666666666,2.460804465506226,0.4258266787976026,100.0,103.97066867485596,0.9994360396306388,0.2018382847335094,1632.0180209715847,1643.1322265452436,True,True,True,True,True,True,sobol_train_val,,,
7.0,2048.0,1.753136532381177,0.2735235851258039,0.3047589220106602,0.6952410779893399,26,15,0.5769230769230769,1.4901427578181028,0.5217014122754335,100.0,119.17776335364772,0.6307089227429712,0.0059269885717745,1033.7300319600402,1044.031128485719,True,True,True,True,True,True,sobol_train_val,,,
8.0,2048.0,1.3103522518649695,0.0201631282456219,0.5481176398694515,0.4518823601305485,14,7,0.5,2.926466682460159,0.45061369035393,100.0,100.16254307216298,0.977942997094311,0.024101409494983,1799.271661433795,1817.7000916104887,True,True,True,True,True,True,sobol_train_val,,,
9.0,2048.0,1.3127994146198034,0.1917633505538105,0.3372934959828853,0.6627065040171147,19,10,0.5263157894736842,3.539223618619144,0.5817107152193784,100.0,106.95970391871168,0.8022450539687099,0.0029632532752152,1635.9659325341422,1651.1159435014663,True,True,True,True,True,True,sobol_train_val,,,
10.0,2048.0,1.8737363712862132,0.1078114910982549,0.5158081330358981,0.4841918669641019,21,9,0.4285714285714285,1.6912056592293083,0.4403105007484555,100.0,114.69785516646652,0.9168221801842326,0.0060794593650624,1244.9139765718614,1262.711188754194,True,True,True,True,True,True,sobol_train_val,,,
11.0,2048.0,1.5401756428182125,0.2409453975968062,0.4739265687763691,0.5260734312236309,13,4,0.3076923076923077,2.2485632702708243,0.5072786012664438,100.0,108.42508740985376,0.9185208110219756,0.0420838543725865,1338.716803836992,1355.2844239749634,True,True,True,True,True,True,sobol_train_val,,,
12.0,2048.0,1.0232889642938972,0.0630238121375441,0.6790041618049144,0.3209958381950856,27,17,0.6296296296296297,3.703767684381455,0.4643525499850511,100.0,87.83805168959083,0.999998702007013,0.3087237543214937,2117.5910638630453,2126.262764091534,True,True,True,True,True,True,sobol_train_val,,,
13.0,2048.0,1.1438379064202309,0.2865651316009461,0.5533844839781523,0.4466155160218477,28,18,0.6428571428571429,3.067121230904013,0.5251690279692411,100.0,95.13461548120108,0.9999957190758472,0.1495817617621378,1611.7129911149827,1626.0283160299805,True,True,True,True,True,True,sobol_train_val,,,
14.0,2048.0,1.6696204645559192,0.0150400394573807,0.3998697336763143,0.6001302663236856,12,5,0.4166666666666667,1.248112986423075,0.4962689088657498,100.0,113.93578282805709,0.7470979228574544,0.0474208419839047,970.4276562278908,982.0648342052364,True,True,True,True,True,True,sobol_train_val,,,
15.0,2048.0,1.994291516020894,0.1812795488163829,0.641629221662879,0.358370778337121,24,11,0.4583333333333333,2.7077817267738284,0.5515155056491494,100.0,113.40050581475953,0.999100062650653,0.3509391984347915,1345.9372349673577,1353.0641446814898,True,True,True,True,True,True,sobol_train_val,,,
16.0,2048.0,1.4422504315152764,0.1159312139265239,0.4115517538040876,0.5884482461959124,16,9,0.5625,4.185550715401768,0.4210895497351885,100.0,107.95548268159912,0.7088038031765016,0.002892692130833,2609.600290371028,2621.49563752196,True,True,True,True,True,True,sobol_train_val,,,
17.0,2048.0,1.482455817051232,0.1706489573232829,0.5066780850291251,0.4933219149708748,25,8,0.32,1.4002665404230354,0.4754134198650718,100.0,105.96566959297598,0.942009875798832,0.0263259565161309,1050.6300171243188,1068.3765902187963,True,True,True,True,True,True,sobol_train_val,,,
18.0,2048.0,1.954048750922084,0.123936173133552,0.3398805737495422,0.6601194262504577,14,9,0.6428571428571429,3.222504731174558,0.5465133465826512,100.0,122.24444576121395,0.7194926180236427,0.0248859401589919,1630.900725914636,1642.844202729335,True,True,True,True,True,True,sobol_train_val,,,
19.0,2048.0,1.6322224950417876,0.2995917672291397,0.6949716717004776,0.3050283282995224,21,11,0.5238095238095238,4.237827336229384,0.400978122651577,100.0,104.17169364873968,0.9998927038535866,0.2394497019720505,2571.8490192054587,2581.4744388581253,True,True,True,True,True,True,sobol_train_val,,,
20.0,2048.0,1.181272853165865,0.0093487090431153,0.4516114011406898,0.5483885988593102,18,7,0.3888888888888889,2.756842563394457,0.5705521179363131,100.0,99.3387655959002,0.9889894828390186,0.0471389926862633,1350.08686131156,1368.2659077151295,True,True,True,True,True,True,sobol_train_val,,,
21.0,2048.0,1.0596185652539134,0.2328579610213637,0.3776522193104028,0.6223477806895972,16,8,0.5,1.7434883284382523,0.4313687881454826,100.0,97.85140003543944,0.6608605437939443,0.0043269437331517,1388.0089283334728,1398.686540339397,True,True,True,True,True,True,sobol_train_val,,,
22.0,2048.0,1.5038695931434631,0.073718427401036,0.5694496531039477,0.4305503468960523,23,13,0.5652173913043478,3.5882783085107803,0.5899686194956302,100.0,104.62278887503982,0.9999039405465624,0.2702813267832788,1549.685090015225,1558.890712371076,True,True,True,True,True,True,sobol_train_val,,,
23.0,2048.0,1.832401611842215,0.1975186868570745,0.4144318033009767,0.5855681966990233,10,7,0.7,3.855927778501063,0.4577181622385979,100.0,117.09397381427686,0.7224528762391774,0.0495040191150276,2251.375884189089,2262.110151113305,True,True,True,True,True,True,sobol_train_val,,,
24.0,2048.0,1.3541100714355707,0.0947023959830403,0.6327921394258738,0.3672078605741262,30,11,0.3666666666666666,2.403940328769385,0.5147920621559023,100.0,98.94894568762948,0.9993024341775912,0.2873573744910061,1368.83992858325,1377.4870264112276,True,True,True,True,True,True,sobol_train_val,,,
25.0,2048.0,1.272557538934052,0.2651729439385235,0.4467352036386728,0.5532647963613272,25,16,0.64,2.617793048825115,0.4458526559174061,100.0,102.1852055026286,0.8042416548483752,0.0023747744113024,1729.7597139414183,1744.4686567280369,True,True,True,True,True,True,sobol_train_val,,,
26.0,2048.0,1.7909071575850248,0.0305945198982954,0.6002514649182558,0.3997485350817442,15,5,0.3333333333333333,4.4814747299999,0.5763640632852912,100.0,110.38088405282171,0.9907655849584958,0.3132178973875202,1896.2146136812644,1904.1127104766683,True,True,True,True,True,True,sobol_train_val,,,
27.0,2048.0,1.6234927540645003,0.1646481022238731,0.3584416169673204,0.6415583830326796,28,13,0.4642857142857143,2.9771325037814678,0.4714569730684161,100.0,114.26530325207364,0.6781012597501911,7.632960059450327e-05,1822.156099103984,1833.8094307822112,True,True,True,True,True,True,sobol_train_val,,,
28.0,2048.0,1.0630421675741673,0.1360999532975256,0.5885206375271081,0.4114793624728918,11,6,0.5454545454545454,1.5440369518473744,0.5003692999482154,100.0,91.57514155438514,0.9647849431129784,0.2128116318737636,1074.9000357212722,1085.0634440966307,True,True,True,True,True,True,sobol_train_val,,,
29.0,2048.0,1.1915171323344111,0.2126113001257181,0.6626812353730201,0.3373187646269798,13,8,0.6153846153846154,2.1328063242137434,0.4891156561672687,100.0,93.55203867969595,0.9958089422548494,0.3147276219684308,1336.749269458993,1344.3690764247556,True,True,True,True,True,True,sobol_train_val,,,
30.0,2048.0,1.7450249642133713,0.0904596445150673,0.4841650515794753,0.5158349484205247,26,12,0.4615384615384615,4.025485144089907,0.5321271589025856,100.0,112.90146486669188,0.9997747028088232,0.0308141459943586,1919.430395981807,1939.1430880410132,True,True,True,True,True,True,sobol_train_val,,,
31.0,2048.0,1.9193749660626052,0.2570326060988009,0.5259016513824463,0.4740983486175537,19,7,0.3684210526315789,3.4234666233882303,0.4154985649511218,100.0,115.33613856316624,0.8993121890191117,0.0006159969810176,2140.666936136636,2157.844454711004,True,True,True,True,True,True,sobol_train_val,,,
32.0,2048.0,1.3940826002508402,0.0410577066242694,0.3208225652575492,0.6791774347424507,20,13,0.65,2.0129230697639287,0.5569109871983529,100.0,109.7763406031276,0.7022459074395138,0.017355431035458,1163.8426066539855,1175.5888399006274,True,True,True,True,True,True,sobol_train_val,,,
33.0,2048.0,1.3843614468351009,0.2160745354369282,0.4634657733142375,0.5365342266857624,30,15,0.5,1.594185160193592,0.4035407418385148,100.0,104.75419704402827,0.7768821786505041,0.0002165022662512,1334.6509540939412,1348.1837906728151,True,True,True,True,True,True,sobol_train_val,,,
34.0,2048.0,1.9291259963065384,0.0752867384813725,0.683386630564928,0.316613369435072,10,6,0.6,3.03010929543525,0.5746284071356058,100.0,110.9123145255333,0.990945916530238,0.4557144611644459,1393.06795138675,1397.5704041711576,True,True,True,True,True,True,sobol_train_val,,,
35.0,2048.0,1.7197103006765246,0.2511942255310714,0.3250988222658634,0.6749011777341366,23,16,0.6956521739130435,4.43172070523724,0.4791496302932501,100.0,117.68520528879112,0.6213862176661262,0.0030251762724828,2461.2722693307155,2471.326671599586,True,True,True,True,True,True,sobol_train_val,,,
36.0,2048.0,1.2168025746941566,0.0539367025718092,0.5215826831758021,0.4784173168241978,17,6,0.3529411764705882,2.5644220735877754,0.5486382277682423,100.0,98.26777968452387,0.9862662817129956,0.1392964746599596,1344.9669630056264,1358.6871452169066,True,True,True,True,True,True,sobol_train_val,,,
37.0,2048.0,1.0884487619623542,0.2804099983535706,0.6459629636257886,0.3540370363742113,19,7,0.3684210526315789,1.9631751364097,0.4595022017136216,100.0,90.83037964971686,0.9934896831643538,0.2371737374753314,1344.6273472324608,1354.352636082678,True,True,True,True,True,True,sobol_train_val,,,
38.0,2048.0,1.5980550907552242,0.0270489687100052,0.40104202888906,0.5989579711109401,22,13,0.5909090909090909,3.37008955674246,0.518089771643281,100.0,112.20369318770211,0.8289162439102502,0.0030392675375044,1786.1446085510431,1802.1667133609524,True,True,True,True,True,True,sobol_train_val,,,
